id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
903980,A Greener Hawick,,Scotland,SCB,Hawick,,,"The group was formed in 2008 and converted to a Scottish Charitable Incorporated Organisation (SCIO No SC043634) in 2012 more recently we refocussed our efforts on achieving climate change mitigation and sustainable through the demonstration of these principles in action while engaed in community wealth building. Our Mission Statement: “ To improve community wellbeing in Hawick through the acquisition of derelict land and buildings which, rejuvenated using techniques focused on climate change mitigation will form a property portfolio dedicated to the sustainability of the Hawick community. ”",http://greenhawick.org,,,,,,transition_network,725,,,,55.4306699,-2.7856865,collective,Transition Group,2,https://maps.transitionnetwork.org/group/a-greener-hawick-scio/,,
903218,ADAPT,,England: The North | United Kingdom,Cheshire,-Nantwich,,,"ADAPT is a local group in the Audlem area finding ways to enjoy living well today while safeguarding the future. We do this by: Growing our own food Exploring energy efficiency and alternative sources of energy Promoting public transport and cycling Supporting our home produced food ventures Conserving and improving the biodiveristy in our local woodlands The name &#8216;ADAPT' stands for Audlem & District Acting Positively for Transition. ADAPT members meet once a quarter to share information, coordinate activities, discuss issues of mutual concern and make decisions for the benefit of the whole group.",https://adapt.audlem.org/,,,food,,,transition_network,10475,,,,52.9887191,-2.5083459,collective,"Transition Group, Community Growing, Other food projects, Nature, Festivals, fairs or events, Building local networks, Local economy or new economy projects, Energy, Transport, Other",2,https://maps.transitionnetwork.org/group/adapt/,,
903587,Alsager Sustainability Group,,England: The North | United Kingdom,Cheshire,Stoke-on-Trent,,,"Informal group working to encourage gardening for wildlife, home food growing, home composting, etc. We are involved with various tree-planting exercises, and improving planting in parks, school grounds and green spaces. We also work with Alsager Urban Wildlife Initiative to help our local wildlife of all types, and promulgate information and awareness about wildlife.",https://maps.transitionnetwork.org/group/alsager-sustainability-group/,,,food,,,transition_network,1542,,,,53.0969148,-2.3030967,collective,"Transition Group, Community Growing, Other food projects, Nature, Festivals, fairs or events, Youth or education projects",2,https://maps.transitionnetwork.org/group/alsager-sustainability-group/,,
903257,Alton Climate Action Network,,England: South West | United Kingdom,,,,,"Since 2019 Alton Climate Action Network (ACAN) has brought people in Alton and the surrounding villages together to take positive community action to reduce our impact on the planet, and restore the natural environment.",https://altonclimatenetwork.org.uk,,,food,,,transition_network,8840,,,,51.16108,-0.97589,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Share, Repair or reuse, Energy, Transport",2,https://maps.transitionnetwork.org/group/alton-climate-action-network/,,
903801,Backwell,,England: Midlands | United Kingdom,NSM,,,,"Sustainable Backwell has been running since Dec 2009. We have three groups: energy, food & transport. Since our beginning we have put on the following events: Two family cycle days. Public energy meeting. Food talks and evenings Garden share scheme and plant/fruit/seed swaps. Two apple pressing events. Draft sustainable energy plan. Insulation for a dozen homes. We are planning: 6 week permaculture course, community wind turbine, bulk buy solar, further development of the website. We're always looking for more members, ideas and collaborating with other groups.",www.sustainablebackwell.org,,,,,,transition_network,1055,,,,51.440966,-2.742653,collective,Transition Group,8,https://maps.transitionnetwork.org/group/backwell/,,
903162,Bentley Urban Farm,,England: The North,South Yorkshire,Doncaster,,,"Bentley Urban Farm is an award winning ""upcycled market garden"" which uses reclaimed materials to repair and maintain a former horticultural training centre for the purposes of teaching people to grow their own fresh, healthy food and to experiment with a diverse range of agroecology and ecoculture techniques to build local resilience in the face of converging ecological crises. We encourage people to work together to help combat the problems of food poverty snd food deserts and to build greater food and seed soveriegnty. Find us at bentleyurbanfarm.com",https://bentleyurbanfarm.com/,,,food,,,transition_network,12585,,,,53.5427683,-1.1459255,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Share, Repair or reuse",9,https://maps.transitionnetwork.org/group/bentley-urban-farm/,,
903164,Bolton Community Kitchen Allotment (BCKA),,England: The North,Lancashire,Bolton,,,"BCKA is the collective of volunteers brought together to meet one of the initial and overriding purposes of Bolton Community Kitchen; that is, the growong of fresh, local fruit and vegetables using organic gardening principles of working within natural systems and cycles, using natural ways to promote a complete healthy, productive and sustainable growing environment. The volunteers share the same ideology, work communally as a team, pool our horticultural and/or gardening knowledge and experiences of collective growing, allotmenteering and gardening along with our practicical, organisational and management skills to honour the founder, Gareth Bradbury’s dream of creating a space to grow food and provide a welcoming, calming, safe, nurturing, sociable, enjoyable communal and educational cultivation space for the for volunteers and service users of Bolton Community Kitchen, and the wider local community to come together to grow, learn new skills from each other and by hosting educational opportunities, develop and enrich social skills, experience the emotional and healing benefits that being in a green and growing space provides, to raise awareness of the benefits of growing, taking a more organic and non-traditional approach to outdoor social spaces and the wonderful outdoors. We will reach out to the wider local communities, schools and other voluntary sector organisations to create an inclusive environment where everyone can experience the well-being and healing properti...",https://l.facebook.com/l.php?u=http%3A%2F%2Fboltoncommunitykitchen.org%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR3OQvW4gtw-WYnW2evsE4sr7kH9h5oW1RDkKHEy93uJkqqj894EPEmz3f8_aem__v3ivc2hCDhmVLey4qQGtA&amp;h=AT1CdewaagvbW2UcphRkdPUaEMRh6EEr76jJ7tlTDvAcoR2zx8wMGWqMeOXGWYz7MNUNZWYytOO7PiYvhfdGreEp2AIHoS_d1u0oHc2QkSTJHLWN0IbXwq_Xkk7vCmSH5xLv6w,,,food,,,transition_network,12346,,,,53.5860728,-2.4450052,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Share, Repair or reuse",8,https://maps.transitionnetwork.org/group/bolton-community-kitchen-allotment-bcka/,,
903451,Bolton Diggers,,England: The North | United Kingdom,Greater Manchester,Bolton,,,"A Bolton-based network of community food initiatives and commons-based promotions. This includes the Great Lever Food Hub (see FB Bolton Diggers Great Lever Food Hub), the Forget Me Not gardening and cooking project (for people with dementia and their partners) and Bolton Mutual Aid (see FB Bolton Mutual Aid) a community centre for various groups and a Covid19 mutual aid group. Bolton Diggers believe that the earth is our common treasury there for everybody's benefit, not simply for the profit of the rich",https://maps.transitionnetwork.org/group/bolton-diggers/,,,,,,transition_network,6153,,,,53.5782863,-2.4300367,collective,Transition Group,9,https://maps.transitionnetwork.org/group/bolton-diggers/,,
903938,Bookham,,England: London &amp; SE | United Kingdom,SRY,Great Bookham,,,"The Transition movement in Bookham began in early 2010 and over the years we have held many meetings and events to raise awareness of environmental issues. Now we’re working solely on a project to achieve Plastic Free Community status and promote waste reduction. As well as our main online contacts listed, we have a project website at plasticfreebookham.org.uk and we’re PlasticFreeBookham on Facebook.",http://www.transitionbookham.org.uk/,,,,,,transition_network,823,,,,51.277451,-0.379082,collective,"Transition Group, Other",2,https://maps.transitionnetwork.org/group/bookham/,,
903282,Bridgehouse Gardens,,England: London &amp; SE | United Kingdom,London,London,,,"Bridgehouse Gardens is a new community growing project in London SE15 developed by Grow Lewisham–a Lewisham-based organisation working to support and increase regenerative growing spaces across the borough to ensure all Lewisham residents have access to these spaces locally, so we can educate, feed and strengthen our communities. Bridgehouse Gardens aims at generating new spaces for local communities to connect through gardening and food growing in a neighborhood that is undergoing heavy urban regeneration, helping develop deeper belonging and ownership in the neighborhood, anticipating the changes in landscape through active participation in the shaping of local spaces. We do so by applying and promoting permaculture methods aimed at improving biodiversity, resilience and supporting local economies.",https://maps.transitionnetwork.org/group/bridgehouse-gardens/,,,,,,transition_network,7419,,,,,,collective,Transition Group,8,https://maps.transitionnetwork.org/group/bridgehouse-gardens/,,
904095,Bristol,,England: Midlands | United Kingdom,BST,Bristol,,,"Transition Bristol was a volunteer-led initiative that initiated, supported, enabled and inspired many neighbourhood and city-level resilience projects in Bristol. Established in 2007 as a Limited Liability Company Registered by Guarantee, Transition Bristol and neighbourhood Transition Initiatives in the City helped stimulate Bristol's &#8216;Green Capital' movement (Bristol was awarded European Green Capital in 2015), and helped create many projects that have left a strong legacy, including for example Shift Bristol, Bristol Pound, The Community Farm, Bristol Food Network, Bristol Good Food (Bristol attained Gold in the Sustainable Food Places award in 2021), Bristol Energy Cooperative, Sims Hill Shared Harvest, Bristol Energy Network and several local Farmers Markets. The Transition Movement in Bristol in effect comprises hundreds if not thousands of people engaged in Transition-related actions in the City. As time has gone by, many people may not even be aware of the key role played by the Transition Movement in helping these projects to come into being. In 2017 the company was dissolved, and the Transition Bristol Initiative continued as a tiny team of volunteers. In 2025 we closed the email account, leaving just the Facebook Group as a means for people involved in transition-related activities to connect with each other.",https://maps.transitionnetwork.org/group/bristol/,,,,,,transition_network,512,,,,51.466835,-2.585528,collective,Transition Group,6,https://maps.transitionnetwork.org/group/bristol/,,
904049,Bro Gwaun,,United Kingdom | Wales &amp; Borders,PEM,Fishguard,,,"TRANSITION BRO GWAUN - the Transition group active in Fishguard, Goodwick and the surrounding area of south west Wales - started in 2008. It brings together local people to share ideas, skills and resources so that we can live more sustainably and explore ways of making the necessary transition into our challenging future. WHAT WE DO Develop renewable energy opportunities. Our community wind turbine is now operating and will, in the future, provide income for the community to spend on a range of sustainable and environmental projects. We are also looking into the possibility of a tidal flow turbine. Reduce carbon emissions by preventing unwanted food going to landfill. We collect from local shops and businesses and turn perfectly good surplus food into affordable, healthy meals for sale in Transition community cafe. Provide information and organise community activities to help people gain awareness and develop practical skills for sustainable living. Find allotments and community growing areas; organise seed and plant swaps and ‘grow your own’ events. Work in partnership with other local organisations to promote our message e.g. at the Farmers Market, the Fishguard Carnival and Show, the annual Food, Jazz and Folk Festivals. Encourage local organisations to make use of our premises e.g. as a venue for meetings, fund-raising and community events. Provide work experience and employment opportunities particularly for young people, disabled people and the long term unemployed....",http://www.transitionbrogwaun.org.uk/,,,,,,transition_network,614,,,,51.993125,-4.978064,collective,Transition Group,8,https://maps.transitionnetwork.org/group/bro-gwaun/,,
903288,Bruntsfield Area Net Zero Action Initiative (BANZAI),,Scotland | United Kingdom,,Edinburgh,,,"BANZAI is an informal group that was established in 2021. It has two primary goals: (i) encouraging street-level community actions that help achieve Net Zero and that build community resilience to address the climate emergency; (ii) collaborating with other local initiatives in the neighbourhood which are encouraging similar or complementary community actions. BANZAI is an informal group, established in 2021. We are centred in Bruntsfield, Edinburgh, but aim to cover the wider area around us in south and south-west central areas of the city. The challenges of dealing with the the damage arising from our overshoot of planetary boundaries for sustainable living are many and varied. Our civilisation has created a human predicament, which requires addressing a ""wicked problem"". As individuals, we can easily feel overwhelmed by the challenge. In BANZAI we work with neighbours and across the local area to identify and implement practical action to tackle the climate crisis. We want to encourage a stronger, resilient neighbourhood in the Bruntsfield area and to engage with others in Edinburgh and Scotland to develop green, healthy, inclusive neighbourhoods that meet the real needs of the people who live there.",https://banzaiedinburgh.org.uk,,,energy_digital,,,transition_network,7267,,,,55.9389439,-3.2082063,collective,"Transition Group, Community hub or activities, Festivals, fairs or events, Building local networks, Energy, Transport",3,https://maps.transitionnetwork.org/group/bruntsfield-area-net-zero-action-initiative-banzai/,,
903269,Buckingham Transition,,England: Midlands | United Kingdom,,Buckingham,,,"A group that has been working in and around Buckingham, to develop initiatives that contribute to addressing the issues of climate change, and a transition to local sustainable practices. We started in 2006, discussing ways forward and linking up with groups and the local council. Subsequently we began initiatives, a spring fair and others. Our main activity now is a community forest garden known as the Buckingham Edible woodland. We have links to Milton Keynes transition and a community garden in MK. We are supported by the local town council.And we are financially supported by Waitrose supermarket.",http://www.bucksedwood.org.uk,,,food,,,transition_network,8529,,,,51.9993533,-0.9779634,collective,"Transition Group, Community Growing",6,https://maps.transitionnetwork.org/group/buckingham-transition/,,
903803,Bures Transition,,England: Midlands | United Kingdom,SFK,Bures,,,"Following a Parish Council village appraisal one of our group attended a Nayland Trasistion meeting. A small Bures group then met in a village pub and it was decided to proceed with an inaugural awareness raising meeting. We then broadly followed The Transition Handbook advice with a series of film shows, discussions and promotion of local produce. We had a stall at the Bures Carnival highlighting local food and drink producers and conducting research into transition issues which most concerned local people. Following this we organsied an open meeting where we elected a committee and decised particular themes to be concentrated on. These were local food production, green energy and conservation, recycling and reuse and education. So far our main successes have included visits to Viridor recycling and Assington Mill centre for local resilience; green energy installations; composting and allotments and the creation of a community woodland and orchard which is underway.",https://maps.transitionnetwork.org/group/bures-transition/,,,,,,transition_network,1061,,,,51.96971,0.780072,collective,Transition Group,2,https://maps.transitionnetwork.org/group/bures-transition/,,
903205,Byker Mutual Aid,,England: The North | United Kingdom,Tyne and Wear,Newcastle upon Tyne,,,"Byker Mutual Aid is a grassroots community group providing mutual aid support for local residents on the Byker housing estate in Newcastle upon Tyne. Currently the group supports 50+ households though a weekly food handout, emergency shopping and small cash payments in crisis situations. We believe in &#8216;Solidarity not Charity' and encourage people to take what they need and give what they can.",https://maps.transitionnetwork.org/group/byker-mutual-aid/,,,food,,,transition_network,10650,,,,54.9718727,-1.5779764,collective,"Transition Group, Other food projects, Community hub or activities, Art / creativity",6,https://maps.transitionnetwork.org/group/byker-mutual-aid/,,
903430,CAG Oxfordshire,,England: Midlands | United Kingdom,,OXFORD,,,"Community Action Groups (CAG) Oxfordshire is a co-operative network of over 100 groups across Oxfordshire who are at the forefront of community-led climate change action, organising events and projects to take action on issues including waste, transport, food, energy, biodiversity and social justice. Started in 2001, the network now runs over 8,000 events per year, attended by around 120,000 local residents and contributing over 200,000 volunteer hours to the county. The CAG Oxfordshire staff team provide free day-to-day support to the network members. Check out our website of get in touch to find out more!",https://cagoxfordshire.org.uk/,,,food,,,transition_network,6278,,,,51.767875,-1.2696012,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Share, Repair or reuse, Energy, Transport",10,https://maps.transitionnetwork.org/group/cag-oxfordshire/,,
904106,CELL (Citizens for Ecological Learning and Living) (Transition Hub),,,,,,,"OUR MISSION CELL, the Centre for Ecological Learning Luxembourg, founded in 2010, is a non-profit organisation that provides an experimental space for thinking, researching, disseminating and practising post-carbon lifestyles and regenerative culture. The leading metaphor of CELL is of course that of a cell. We aim to take nature and evolution as our primary source of inspiration and use the patterns and forms found in nature to create living, evolving and resilient systems and organisations. In this process, other cells are coming to take part in a complex and interconnected organism. AIMS We want to broadly learn and teach the skills for creating thriving, resilient and relocalised post-carbon communities. We aspire towards living sustainably by example and endorse integral, systemic thinking and action; fostering a culture of solidarity and collaboration; skilling up for living well in a post-carbon economy. We operate on personal, community and organisational/systemic levels. PURPOSE CELL raises awareness, practises resilience and designs appropriate systems for changemakers and grassroots groups (e.g. action-groups ) interested in bioregional resilience, in order to empower, nurture and catalyse connections between living beings and the places they inhabit. VALUES Mindfulness for us means that we remain highly aware, loving, respectful, responsible, responsive and connected in our everyday communications with each other. Coherence for us means that our personal words ...",https://maps.transitionnetwork.org/hub/cell/,,,democracy,,,transition_network,hub:cell,,,,49.8148081,6.1397616,nonprofit,Official Hub,2,https://maps.transitionnetwork.org/hub/cell/,,
903299,Carmarthen Together,,United Kingdom | Wales &amp; Borders,,,,,"Carmarthen Together was set up in August 2022 with the aim of becoming a grass roots community group that not only sets up resilience building initiatives in our area but also provides an umbrella organisation for other groups or individuals who need support in realising their goals. Our focus is the climate and ecological emergency but we want to find practical ways in which our local community can come together and find ways of living more sustainably. We are currently focussed on three main projects. Sero - our Community Environment Centre which provides a high street location for our group and a home for our Repair Cafe, Library of Things and New2U childrens clothes and toy swap. Community Growing - a fledgling group who are about to start planting in various small plots around town and are in negotiation to secure a large growing space on the edge of town, working with our local university UWTSD Water quality - we are undertaking a medium scale citizen science project, again working with the local university, to test the quality of the water in the River Towy and build pressure on both Dwr Cymru and local landowners to improve the quality of our river.",https://carmarthen-together-git-dev-lumsden-digital.vercel.app/en,,,food,,,transition_network,7405,,,,51.8563032,-4.3119879,collective,"Transition Group, Community Growing, Nature, Community hub or activities, Festivals, fairs or events, Building local networks, Social Justice / Just Transition activities, Share, Repair or reuse, Energy",2,https://maps.transitionnetwork.org/group/carmarthen-together/,,
904063,Chepstow,,United Kingdom | Wales &amp; Borders,MON,Chepstow,,,"Chepstow is a Welsh border town, on the banks of the River Wye in Monmouthshire. Part of the wider Chepstow community is just across the River Wye in Gloucestershire, England. Transition Chepstow aims to help create a more resilient, low-carbon, socially just and healthier future for our community in response to a changing climate, resource depletion, rising energy costs and growing inequality. Transition Chepstow is part of the global Transition Network that supports community-led responses to climate change and shrinking supplies of cheap energy, building resilience and happiness. The initiative is part of a rapidly growing network of communities across the world. We believe there is strength in community and we help to facilitate participation through a proactive, get on and do attitude. If we want something to happen we help to make it happen through working with local individuals, groups and authorities.",http://www.transitionchepstow.org.uk/,,,food,,,transition_network,557,,,,51.640139,-2.673735,collective,"Transition Group, Community Growing, Community hub or activities, Festivals, fairs or events, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Transport",4,https://maps.transitionnetwork.org/group/chepstow/,,
