id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764663,Community Land Trust Brussels,BE,Belgium,,Brussels,,land_and_housing/community_land_trust,Founded 2012; ~150 homes delivered across Brussels as of 2025.,https://cltb.be/,,,housing_land,,,grounded_solutions,seed:community-land-trust-brussels,,,,50.5,4.47,nonprofit,,2,https://cltb.be/,,
764662,Kensington Market Community Land Trust,CA,Canada,,"Toronto, ON",,land_and_housing/community_land_trust,Toronto Kensington-Market CLT focused on small business and housing preservation.,https://kmclt.ca/,,,housing_land,,,grounded_solutions,seed:kensington-market-community-land-trust,,,,56.13,-106.35,nonprofit,,2,https://kmclt.ca/,,
764661,Parkdale Neighbourhood Land Trust,CA,Canada,,"Toronto, ON",,land_and_housing/community_land_trust,Toronto neighborhood CLT preserving rental and commercial space in Parkdale.,https://pnlt.ca/,,,housing_land,,,grounded_solutions,seed:parkdale-neighbourhood-land-trust,,,,56.13,-106.35,nonprofit,,2,https://pnlt.ca/,,
764666,Bristol Community Land Trust,GB,United Kingdom,,Bristol,,land_and_housing/community_land_trust,Bristol CLT with Fishponds Road and Shaldon Road schemes.,https://www.bristolclt.org.uk/,,,housing_land,,,grounded_solutions,seed:bristol-community-land-trust,,,,55.38,-3.44,nonprofit,,2,https://www.bristolclt.org.uk/,,
764669,CLT West of England,GB,United Kingdom,,South West England,,land_and_housing/community_land_trust,"Regional hub supporting CLTs across Bristol, Bath, North Somerset, and South Gloucestershire.",https://wecommunityledhousing.org.uk/,,,housing_land,,,grounded_solutions,seed:clt-west-of-england,,,,55.38,-3.44,nonprofit,,2,https://wecommunityledhousing.org.uk/,,
764667,East London Community Land Trust,GB,United Kingdom,,London,,land_and_housing/community_land_trust,Founder of the St Clements Hospital redevelopment; part of London CLT.,https://www.eastlondonclt.co.uk/,,,housing_land,,,grounded_solutions,seed:east-london-community-land-trust,,,,55.38,-3.44,nonprofit,,2,https://www.eastlondonclt.co.uk/,,
764665,Granby Four Streets Community Land Trust,GB,United Kingdom,,Liverpool,,land_and_housing/community_land_trust,Liverpool CLT behind the Turner-Prize-winning Granby Workshop regeneration.,https://www.granby4streetsclt.co.uk/,,,housing_land,,,grounded_solutions,seed:granby-four-streets-community-land-trust,,,,55.38,-3.44,nonprofit,,2,https://www.granby4streetsclt.co.uk/,,
764668,Leeds Community Homes,GB,United Kingdom,,Leeds,,land_and_housing/community_land_trust,Leeds CLT umbrella and community share offer delivering genuinely affordable homes.,https://www.leedscommunityhomes.org.uk/,,,housing_land,,,grounded_solutions,seed:leeds-community-homes,,,,55.38,-3.44,nonprofit,,2,https://www.leedscommunityhomes.org.uk/,,
764664,London Community Land Trust,GB,United Kingdom,,London,,land_and_housing/community_land_trust,CLT operator behind St Clements and Christchurch Road schemes.,https://www.londonclt.org/,,,housing_land,,,grounded_solutions,seed:london-community-land-trust,,,,55.38,-3.44,nonprofit,,2,https://www.londonclt.org/,,
764675,(Re)introducing Front Step Community Land Trust,US,United States,,,,land_and_housing/community_land_trust,Grounded Solutions Network member. See: https://groundedsolutions.org/member-spotlight-reintroducing-front-step-community-land-trust/,,,,housing_land,,,grounded_solutions,wp-post:5675,,,,,,nonprofit,,2,https://groundedsolutions.org/member-spotlight-reintroducing-front-step-community-land-trust/,,
